Virus,Human_P,Human_G,Human_length,Weight,virus_protein_source,interaction_source
A0A663DJA2,P39019,RS19,145,69.66,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P40227,TCPZ,531,44.72,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P42285,MTREX,1042,64.01,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P42677,RS27,84,48.16,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P43243,MATR3,847,52.68,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P43307,SSRA,286,40.85,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P46013,KI67,3256,55.98,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P46087,NOP2,812,44.08,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P46781,RS9,194,72.7,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P46782,RS5,204,55.07,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P46783,RS10,165,50.82,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P48643,TCPE,541,73.84,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P49411,EFTU,452,40.22,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P50897,PPT1,306,48.95,khorsand-ncbi-gordon,khorsand-gordon
A0A663DJA2,P50991,TCPD,539,64.72,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P51114,FXR1,621,49.1,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P51116,FXR2,673,47.91,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P51398,RT29,398,44.79,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P51570,GALK1,392,54.17,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P51617,IRAK1,712,51.7,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P51648,AL3A2,485,49.01,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P51665,PSMD7,324,43.84,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P52292,IMA1,529,65.78,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P52294,IMA5,538,81.39,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P52597,HNRPF,415,44.38,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P53007,TXTP,311,63.88,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P53618,COPB,953,51.35,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P53814,SMTN,917,45.98,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P55072,TERA,806,54.6,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P55084,ECHB,474,58.39,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P60468,SC61B,96,45.27,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P60709,ACTB,375,46.64,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P60903,S10AA,97,45.47,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P61247,RS3A,264,48.31,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P61254,RL26,145,42.63,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P61457,PHS,104,41.29,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P61962,DCAF7,342,47.45,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P61978,HNRPK,463,49.08,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62191,PRS4,440,43.84,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62195,PRS8,406,57.47,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62244,RS15A,130,69.66,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62263,RS14,151,49.59,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62269,RS18,152,55.81,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62277,RS13,151,53.22,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62280,RS11,158,42.25,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62314,SMD1,119,42.63,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62316,SMD2,118,51.2,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62318,SMD3,126,40.42,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62333,PRS10,389,42.41,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62701,RS4X,263,40.82,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62750,RL23A,156,40.37,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62753,RS6,249,44.06,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62807,H2B1C,126,40.82,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62829,RL23,140,43.15,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62841,RS15,145,53.22,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62847,RS24,133,40.82,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62899,RL31,125,44.06,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62917,RL8,257,43.84,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P62979,RS27A,156,40.44,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P63104,1433Z,245,41.97,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P63167,DYL1,89,40.45,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P67809,YBOX1,324,45.81,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P68104,EF1A1,462,57.4,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P68371,TBB4B,445,42.25,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P78527,PRKDC,4128,43.22,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P78559,MAP1A,2803,41.24,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P82650,RT22,360,51.65,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P82673,RT35,323,53.86,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P82675,RT05,430,42.14,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P82914,RT15,257,46.16,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P82930,RT34,218,62.03,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P82932,RT06,125,57.77,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P82933,RT09,396,56.3,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P84090,ERH,104,40.82,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P84103,SRSF3,164,56.46,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P98175,RBM10,930,68.23,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q00325,MPCP,362,69.59,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q00577,PURA,322,41.34,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q00587,BORG5,391,45.98,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q00839,HNRPU,825,47.65,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q01081,U2AF1,240,46.64,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q07020,RL18,188,42.41,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q07666,KHDR1,443,42.63,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q07955,SRSF1,248,42.63,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q08211,DHX9,1270,47.65,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q09161,NCBP1,790,48.96,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q12905,ILF2,390,47.65,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q13151,ROA0,305,41.51,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q13188,STK3,491,47.45,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q13200,PSMD2,908,58.97,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q13247,SRSF6,344,42.63,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q13283,G3BP1,466,48.16,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q13310,PABP4,644,40.31,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q13435,SF3B2,895,42.41,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q14203,DCTN1,1278,47.65,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q14257,RCN2,317,48.83,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q14315,FLNC,2725,49.59,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q14318,FKBP8,412,55.98,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q14498,RBM39,530,48.16,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q14764,MVP,893,58.34,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q14974,IMB1,876,68.23,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q15008,PSMD6,389,57.47,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q15020,SART3,963,53.83,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q15293,RCN1,331,55.13,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q15365,PCBP1,356,139.15,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q15773,MLF2,248,75.42,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q16576,RBBP7,425,48.16,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q16875,F263,520,48.16,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q16891,MIC60,758,49.84,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q1KMD3,HNRL2,747,63.51,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q2TB90,HKDC1,917,42.6,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q32MZ4,LRRF1,808,53.26,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q3KQU3,MA7D1,841,75.98,khorsand-ncbi-gordon,khorsand-gordon
A0A663DJA2,Q53H12,AGK,422,58.14,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q5H9R7,PP6R3,873,67.95,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q5SW79,CE170,1584,51.73,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q6DN90,IQEC1,963,45.98,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q6NZI2,CAVN1,390,54.14,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q6NZY4,ZCHC8,707,41.7,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q6P1J9,CDC73,531,46.76,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q6P2Q9,PRP8,2335,54.6,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q6P3X3,TTC27,843,46.53,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q6PKG0,LARP1,1096,66.98,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q6R327,RICTR,1708,41.7,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q7Z3B4,NUP54,507,56.65,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q7Z4H7,HAUS6,955,55.98,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q86UE4,LYRIC,582,47.14,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q8IX01,SUGP2,1082,59.61,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q8IXM3,RM41,137,44.03,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q8N163,CCAR2,923,53.01,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q8N448,LNX2,690,60.75,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q92522,H1X,213,52.12,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q92598,HS105,858,69.66,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q92615,LAR4B,738,57.47,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q92665,RT31,395,53.21,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q92769,HDAC2,488,44.95,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q92900,RENT1,1129,53.2,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q92905,CSN5,334,48.53,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q96CS3,FAF2,445,49.84,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q96D09,GASP2,838,41.7,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q96EY1,DNJA3,480,53.22,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q96EY7,PTCD3,689,62.34,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q96KR1,ZFR,1074,50.41,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q96TA2,YMEL1,773,45.98,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q99417,MYCBP,103,49.64,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q99460,PSMD1,953,48.16,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q99575,POP1,1024,41.58,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q99615,DNJC7,494,60.94,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q99832,TCPH,543,40.4,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9BQ70,TCF25,676,41.7,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9BQA1,MEP50,342,68.23,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9BRK5,CAB45,362,59.38,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9BXW9,FACD2,1451,46.53,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9BYN8,RT26,205,48.39,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9C0C7,AMRA1,1298,41.7,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9H2U1,DHX36,1008,47.74,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9H936,GHC1,323,47.45,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9HCE1,MOV10,1003,49.15,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9NNW5,WDR6,1121,41.63,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9NR30,DDX21,783,52.63,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9NTJ3,SMC4,1288,58.79,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9NVI1,FANCI,1328,55.91,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9NVI7,ATD3A,634,52.41,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9NVP1,DDX18,670,40.17,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9NWB1,RFOX1,397,45.98,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9NZB2,F120A,1118,46.52,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9P035,HACD3,362,58.96,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9P2F8,SI1L2,1722,41.7,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9UJC3,HOOK1,728,54.88,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9UL15,BAG5,447,62.6,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9ULX6,AKP8L,646,44.69,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9UN86,G3BP2,482,59.73,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9UNE7,CHIP,303,72.42,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9UNM6,PSD13,376,61.79,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9Y224,RTRAF,244,114.75,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9Y262,EIF3L,564,57.95,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9Y2Q9,RT28,187,41.34,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9Y2R9,RT07,242,44.33,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9Y2X3,NOP58,529,87.9,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9Y2X9,ZN281,895,45.98,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9Y383,LC7L2,392,45.67,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9Y399,RT02,296,42.06,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9Y3D9,RT23,190,40.54,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9Y3U8,RL36,105,48.16,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9Y3Z3,SAMH1,626,43.84,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9Y4W2,LAS1L,734,41.7,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9Y5A9,YTHD2,579,46.85,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9Y5V3,MAGD1,778,59.1,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9Y676,RT18B,258,41.27,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9Y6M1,IF2B2,599,54.45,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9Y6N5,SQOR,450,63.91,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9C0D3,ZY11B,744,98.25,khorsand-ncbi-gordon,khorsand-gordon
A0A663DJA2,Q15370,ELOB,118,107.25,khorsand-ncbi-gordon,khorsand-gordon
A0A663DJA2,Q15369,ELOC,112,84.25,khorsand-ncbi-gordon,khorsand-gordon
A0A663DJA2,P62877,RBX1,108,117.25,khorsand-ncbi-gordon,khorsand-gordon
A0A663DJA2,Q9Y5J9,TIM8B,83,67.25,khorsand-ncbi-gordon,khorsand-gordon
A0A663DJA2,Q9BU02,THTPA,230,108.25,khorsand-ncbi-gordon,khorsand-gordon
A0A663DJA2,Q13617,CUL2,745,118.25,khorsand-ncbi-gordon,khorsand-gordon
A0A663DJA2,P57678,GEMI4,1058,99.25,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P53621,COPA,1224,52.25,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O43592,XPOT,962,86.25,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P12268,IMDH2,514,74.25,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P05023,AT1A1,1023,99.25,khorsand-ncbi-gordon,khorsand
A0A663DJA2,Q9UBF2,COPG2,871,80.25,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O14980,XPO1,1071,52.25,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O95347,SMC2,1197,113.25,khorsand-ncbi-gordon,khorsand
A0A6M4B8V5,Q9C0D3,ZY11B,744,54.25,khorsand,khorsand
A0A6M4B8V5,Q15370,ELOB,118,69.25,khorsand,khorsand
A0A6M4B8V5,Q15369,ELOC,112,92.25,khorsand,khorsand
A0A6M4B8V5,P62877,RBX1,108,108.25,khorsand,khorsand
A0A6M4B8V5,Q9Y5J9,TIM8B,83,104.25,khorsand,khorsand
A0A6M4B8V5,Q9BU02,THTPA,230,98.25,khorsand,khorsand
A0A6M4B8V5,Q3KQU3,MA7D1,841,111.25,khorsand,khorsand
A0A6M4B8V5,Q13617,CUL2,745,81.25,khorsand,khorsand
A0A6M4B8V5,P50897,PPT1,306,120.25,khorsand,khorsand
P0DTC1,O15260,SURF4,269,42.46,khorsand-ncbi,khorsand
P0DTC1,O94905,ERLN2,339,44.33,khorsand-ncbi,khorsand
