Drug,Unnamed: 1,GENE,Query Score,Interaction Score,Normalized_query_score,Normalized_interaction_score
  QUERCETIN,,PIK3R2,1.08,0.01,0.008616187989556138,2.9340140245870378e-05
  EPIRUBICIN,,PIK3R2,0.87,0.05,0.006788511749347259,0.0001467007012293519
  CYCLOPHOSPHAMIDE,,PIK3R2,0.77,0.02,0.0059181897302001745,5.8680280491740756e-05
  FLUOROURACIL,,PIK3R2,0.54,0.01,0.00391644908616188,2.9340140245870378e-05
  CARFILZOMIB,,PSMD14,6.11,0.36,0.05239338555265449,0.0010562450488513335
  BORTEZOMIB,,PSMD14,5.42,0.23,0.0463881636205396,0.0006748232256550187
  CHEMBL579028,,PSMD14,4.36,2.58,0.03716275021758051,0.007569756183434557
  IXAZOMIB CITRATE,,PSMD14,2.29,0.14,0.01914708442123586,0.0004107619634421853
  OPROZOMIB,,PSMD14,2.23,0.13,0.01862489120974761,0.0003814218231963149
  CHEMBL1346025,,PSMD14,1.45,1.72,0.011836379460400347,0.005046504122289705
  CHEMBL56542,,PSMD14,1.45,0.86,0.011836379460400347,0.0025232520611448523
  CHEMBL1576310,,PSMD14,0.79,0.47,0.006092254134029592,0.0013789865915559076
  CHEMBL56731,,PSMD14,0.69,0.27,0.005221932114882507,0.0007921837866385002
  CHEMBL1453126,,PSMD14,0.36,0.43,0.002349869451697128,0.0012616260305724262
  SULFURETIN,,PSMD14,0.27,0.32,0.0015665796344647522,0.0009388844878678521
  ARAMCHOL,,SCD,4.36,11.36,0.03716275021758051,0.03333039931930874
  CLOFIBRATE,,SCD,2.32,1.51,0.019408181026979984,0.004430361177126427
  COLCHICINE,,SCD,1.96,0.46,0.016275021758050477,0.0013496464513100374
  MK-8245,,SCD,1.45,3.79,0.011836379460400347,0.011119913153184873
  ROSIGLITAZONE,,SCD,1.36,0.71,0.011053089643167972,0.0020831499574567964
  SCYLLITOL,,CDIPT,5.81,37.87,0.04978241949521323,0.1111111111111111
  SERINE,,SPTLC1,3.27,7.1,0.027676240208877288,0.020831499574567966
  PYRIDOXAL PHOSPHATE,,SPTLC1,2.35,2.18,0.01966927763272411,0.006396150573599743
  PYRUVATE,,SLC16A3,2.49,4.06,0.02088772845953003,0.011912096939823372
  STREPTOZOCIN,,SLC16A3,0.37,1.21,0.002436901653611837,0.0035501569697503153
  MYRISTIC ACID,,TRAPPC3,1.66,2.71,0.013664055700609225,0.007951178006630873
  LUCINACTANT,,TRAPPC3,0.97,3.16,0.007658833768494343,0.009271484317695039
  CHEMBL1161866,,UGDH,5.9,0.99,0.05056570931244561,0.002904673884341167
  COPPER,,UGDH,3.75,0.39,0.03185378590078329,0.0011442654695889448
  SIMVASTATIN,,ICMT,0.62,1.01,0.004612706701479548,0.0029633541648329082
  E7107,,SF3B1,8.71,113.61,0.07502175805047868,0.33333333333333337
  ARTENIMOL,,ATP5L,7.53,0.7,0.06475195822454309,0.0020538098172109263
  PHENETHYLISOTHIOCYANATE,,ATP5L,5.26,1.07,0.04499564838990427,0.0031393950063081304
  ENMD-981693,,IPO7,0.97,2.1,0.007658833768494343,0.006161429451632779
  CELECOXIB,,MT-CO2,1.04,0.85,0.008268059181897304,0.0024939119208989818
  TALMAPIMOD,,MT-CO2,0.87,5.68,0.006788511749347259,0.01666519965965437
  AFATINIB,,EGFR,114.99,4.14,1.0,0.012146818061790335
  GEFITINIB,,EGFR,62.77,0.65,0.5455178416013926,0.0019071091159815745
  OSIMERTINIB,,EGFR,62.72,2.26,0.545082680591819,0.006630871695566705
  CETUXIMAB,,EGFR,59.2,0.71,0.5144473455178417,0.0020831499574567964
  ERLOTINIB,,EGFR,58.52,1.05,0.5085291557876415,0.0030807147258163897
  PANITUMUMAB,,EGFR,40.65,0.73,0.35300261096605745,0.0021418302379485376
  DACOMITINIB,,EGFR,26.13,1.88,0.22663185378590078,0.00551594636622363
  ZALUTUMUMAB,,EGFR,26.13,1.88,0.22663185378590078,0.00551594636622363
  ICOTINIB,,EGFR,26.13,1.88,0.22663185378590078,0.00551594636622363
  OLMUTINIB,,EGFR,26.13,1.88,0.22663185378590078,0.00551594636622363
  LAPATINIB,,EGFR,22.87,0.55,0.19825935596170585,0.0016137077135228708
  NERATINIB,,EGFR,22.17,0.8,0.19216710182767627,0.0023472112196696302
  RINDOPEPIMUT,,EGFR,21.78,1.57,0.18877284595300264,0.00460640201860165
  NECITUMUMAB,,EGFR,17.42,1.26,0.15082680591818975,0.0036968576709796677
  DEPATUXIZUMAB,,EGFR,17.42,1.26,0.15082680591818975,0.0036968576709796677
  CHEMBL285063,,EGFR,17.42,0.63,0.15082680591818975,0.0018484288354898338
  NIMOTUZUMAB,,EGFR,13.07,0.94,0.11296779808529157,0.002757973183111815
  ROCILETINIB,,EGFR,13.07,0.94,0.11296779808529157,0.002757973183111815
  PELITINIB,,EGFR,13.07,0.94,0.11296779808529157,0.002757973183111815
  MATUZUMAB,,EGFR,13.07,0.94,0.11296779808529157,0.002757973183111815
  PKI-166,,EGFR,13.07,0.94,0.11296779808529157,0.002757973183111815
  PACLITAXEL,,EGFR,11.33,0.04,0.09782419495213229,0.00011736056098348151
  AC-480,,EGFR,10.89,0.78,0.09399477806788513,0.0022885309391778895
  S-222611,,EGFR,10.89,0.78,0.09399477806788513,0.0022885309391778895
  VANDETANIB,,EGFR,10.69,0.15,0.09225413402959096,0.00044010210368805564
  SAPITINIB,,EGFR,10.16,0.73,0.08764142732811141,0.0021418302379485376
  PEMBROLIZUMAB,,EGFR,9.5,0.09,0.08189730200174065,0.0002640612622128334
  CHEMBL1077773,,EGFR,8.71,0.63,0.07502175805047868,0.0018484288354898338
  GRACILIN J,,EGFR,8.71,0.63,0.07502175805047868,0.0018484288354898338
  VARLITINIB,,EGFR,8.71,0.63,0.07502175805047868,0.0018484288354898338
  IMGATUZUMAB,,EGFR,8.71,0.63,0.07502175805047868,0.0018484288354898338
  CHEMBL188762,,EGFR,8.71,0.63,0.07502175805047868,0.0018484288354898338
  AZD-3759,,EGFR,8.71,0.63,0.07502175805047868,0.0018484288354898338
  DEPATUXIZUMAB MAFODOTIN,,EGFR,8.71,0.63,0.07502175805047868,0.0018484288354898338
  CHEMBL472212,,EGFR,8.71,0.63,0.07502175805047868,0.0018484288354898338
  ABIVERTINIB MALEATE,,EGFR,8.71,0.63,0.07502175805047868,0.0018484288354898338
  GRACILIN A,,EGFR,8.71,0.63,0.07502175805047868,0.0018484288354898338
  EPITINIB,,EGFR,8.71,0.63,0.07502175805047868,0.0018484288354898338
  CHEMBL1078000,,EGFR,8.71,0.63,0.07502175805047868,0.0018484288354898338
  CHEMBL3397300,,EGFR,7.26,0.26,0.062402088772845955,0.0007628436463926298
  MP-412,,EGFR,7.26,0.52,0.062402088772845955,0.0015256872927852595
  TAK-285,,EGFR,6.53,0.47,0.05604873803307225,0.0013789865915559076
  JNJ-61186372,,EGFR,6.53,0.47,0.05604873803307225,0.0013789865915559076
  CUDC-101,,EGFR,6.53,0.16,0.05604873803307225,0.00046944224393392605
  LIFIRAFENIB,,EGFR,6.53,0.16,0.05604873803307225,0.00046944224393392605
  NAQUOTINIB,,EGFR,6.53,0.47,0.05604873803307225,0.0013789865915559076
  NIVOLUMAB,,EGFR,6.1,0.15,0.05230635335073978,0.00044010210368805564
  ATEZOLIZUMAB,,EGFR,6.03,0.14,0.05169712793733682,0.0004107619634421853
  DURVALUMAB,,EGFR,5.81,0.21,0.04978241949521323,0.0006161429451632779
  CARBOPLATIN,,EGFR,5.46,0.04,0.04673629242819844,0.00011736056098348151
  TRAMETINIB,,EGFR,5.44,0.04,0.046562228024369025,0.00011736056098348151
  GEDATOLISIB,,EGFR,5.41,0.04,0.046301131418624894,0.00011736056098348151
  CRIZOTINIB,,EGFR,5.23,0.09,0.04473455178416015,0.0002640612622128334
  SELUMETINIB,,EGFR,5.23,0.05,0.04473455178416015,0.0001467007012293519
  CANERTINIB,,EGFR,4.98,0.36,0.04255874673629244,0.0010562450488513335
  GANETESPIB,,EGFR,4.84,0.07,0.04134029590948651,0.00020538098172109265
  CAPMATINIB,,EGFR,4.36,0.16,0.03716275021758051,0.00046944224393392605
  AZD-4769,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  POZIOTINIB,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  MAB-425,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  RG-7160,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  FUTUXIMAB,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  MAVELERTINIB,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  PYROTINIB,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  BMS-690514,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  ALLITINIB,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  DULIGOTUZUMAB,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  SAVOLITINIB,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  CHEMBL2347958,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  TARLOXOTINIB,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  THELIATINIB,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  NAZARTINIB,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  SIMOTINIB,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  CETUXIMAB SAROTALOCAN,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  TEGAFUR,,EGFR,4.36,0.16,0.03716275021758051,0.00046944224393392605
  ALFLUTINIB,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  ERLOTINIB HYDROCHLORIDE,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  AVELUMAB,,EGFR,4.36,0.31,0.03716275021758051,0.0009095443476219816
  SORAFENIB,,EGFR,4.3,0.03,0.036640557006092256,8.802042073761112e-05
  PIMASERTIB,,EGFR,3.87,0.07,0.03289817232375979,0.00020538098172109265
  ENCORAFENIB,,EGFR,3.87,0.07,0.03289817232375979,0.00020538098172109265
  TESEVATINIB,,EGFR,3.81,0.27,0.032375979112271545,0.0007921837866385002
  PEMETREXED,,EGFR,3.73,0.07,0.031679721496953875,0.00020538098172109265
  SIROLIMUS,,EGFR,3.67,0.04,0.031157528285465624,0.00011736056098348151
  CISPLATIN,,EGFR,3.53,0.01,0.029939077458659705,2.9340140245870378e-05
  PHA-665752,,EGFR,3.48,0.25,0.029503916449086166,0.0007335035061467594
  BRIGATINIB,,EGFR,3.48,0.25,0.029503916449086166,0.0007335035061467594
  GELDANAMYCIN,,EGFR,3.48,0.04,0.029503916449086166,0.00011736056098348151
  PACRITINIB,,EGFR,3.48,0.13,0.029503916449086166,0.0003814218231963149
  IRINOTECAN,,EGFR,3.45,0.02,0.029242819843342042,5.8680280491740756e-05
  FALNIDAMOL,,EGFR,3.27,0.24,0.027676240208877288,0.000704163365900889
  AEE-788,,EGFR,3.11,0.22,0.02628372497824195,0.0006454830854091483
  DECITABINE,,EGFR,2.9,0.05,0.024456048738033073,0.0001467007012293519
  CHEMBL1765740,,EGFR,2.9,0.1,0.024456048738033073,0.0002934014024587038
  GOLVATINIB,,EGFR,2.9,0.21,0.024456048738033073,0.0006161429451632779
  PLUMBAGIN,,EGFR,2.9,0.04,0.024456048738033073,0.00011736056098348151
  DACTOLISIB,,EGFR,2.9,0.02,0.024456048738033073,5.8680280491740756e-05
  BUPARLISIB,,EGFR,2.9,0.03,0.024456048738033073,8.802042073761112e-05
  CHEMBL219557,,EGFR,2.9,0.1,0.024456048738033073,0.0002934014024587038
  CHEMBL1358137,,EGFR,2.9,0.21,0.024456048738033073,0.0006161429451632779
  TYRPHOSTIN AG-1478,,EGFR,2.9,0.1,0.024456048738033073,0.0002934014024587038
  IBRUTINIB,,EGFR,2.84,0.04,0.023933855526544822,0.00011736056098348151
  REGORAFENIB,,EGFR,2.8,0.03,0.02358572671888599,8.802042073761112e-05
  ALVOCIDIB,,EGFR,2.77,0.03,0.023324630113141866,8.802042073761112e-05
  DABRAFENIB,,EGFR,2.65,0.03,0.022280243690165364,8.802042073761112e-05
  TEMOZOLOMIDE,,EGFR,2.61,0.05,0.02193211488250653,0.0001467007012293519
  PF-00477736,,EGFR,2.49,0.09,0.02088772845953003,0.0002640612622128334
  PUQUITINIB,,EGFR,2.38,0.03,0.019930374238468235,8.802042073761112e-05
  TALAZOPARIB,,EGFR,2.38,0.06,0.019930374238468235,0.00017604084147522224
  IMATINIB,,EGFR,2.31,0.02,0.019321148825065276,5.8680280491740756e-05
  LY-3164530,,EGFR,2.18,0.16,0.01818973020017407,0.00046944224393392605
  LAPATINIB DITOSYLATE,,EGFR,2.18,0.16,0.01818973020017407,0.00046944224393392605
  LINSITINIB,,EGFR,2.18,0.08,0.01818973020017407,0.00023472112196696302
  CEP-32496,,EGFR,2.18,0.08,0.01818973020017407,0.00023472112196696302
  ALOE-EMODIN,,EGFR,2.18,0.16,0.01818973020017407,0.00046944224393392605
  MDX-447,,EGFR,2.18,0.16,0.01818973020017407,0.00046944224393392605
  METHYLCURCUMIN,,EGFR,2.18,0.16,0.01818973020017407,0.00046944224393392605
  GEMCITABINE,,EGFR,2.07,0.01,0.01723237597911227,2.9340140245870378e-05
  VEMURAFENIB,,EGFR,2.03,0.02,0.016884247171453436,5.8680280491740756e-05
  SARACATINIB,,EGFR,2.01,0.05,0.01671018276762402,0.0001467007012293519
  CURCUMIN,,EGFR,2.0,0.01,0.016623150565709312,2.9340140245870378e-05
  JNJ-26483327,,EGFR,1.94,0.07,0.01610095735422106,0.00020538098172109265
  AMLEXANOX,,EGFR,1.94,0.03,0.01610095735422106,8.802042073761112e-05
  EVEROLIMUS,,EGFR,1.91,0.02,0.015839860748476937,5.8680280491740756e-05
  DOCETAXEL,,EGFR,1.75,0.01,0.014447345517841602,2.9340140245870378e-05
  DIMETHYLCURCUMIN,,EGFR,1.74,0.13,0.014360313315926894,0.0003814218231963149
  YUANHUADINE,,EGFR,1.74,0.13,0.014360313315926894,0.0003814218231963149
  SONIDEGIB,,EGFR,1.74,0.13,0.014360313315926894,0.0003814218231963149
  TEMSIROLIMUS,,EGFR,1.74,0.04,0.014360313315926894,0.00011736056098348151
  ZANUBRUTINIB,,EGFR,1.74,0.06,0.014360313315926894,0.00017604084147522224
  ETOPOSIDE,,EGFR,1.68,0.01,0.013838120104438642,2.9340140245870378e-05
  CABOZANTINIB,,EGFR,1.63,0.06,0.0134029590948651,0.00017604084147522224
  RIBAVIRIN,,EGFR,1.58,0.02,0.01296779808529156,5.8680280491740756e-05
  LEUCOVORIN,,EGFR,1.56,0.02,0.012793733681462142,5.8680280491740756e-05
  MK-2206,,EGFR,1.54,0.04,0.012619669277632724,0.00011736056098348151
  BOSUTINIB,,EGFR,1.52,0.03,0.012445604873803308,8.802042073761112e-05
  RAMUCIRUMAB,,EGFR,1.45,0.1,0.011836379460400347,0.0002934014024587038
  ABIVERTINIB,,EGFR,1.45,0.1,0.011836379460400347,0.0002934014024587038
  CANERTINIB DIHYDROCHLORIDE,,EGFR,1.45,0.1,0.011836379460400347,0.0002934014024587038
  LIDOCAINE,,EGFR,1.45,0.05,0.011836379460400347,0.0001467007012293519
  AFATINIB DIMALEATE,,EGFR,1.45,0.1,0.011836379460400347,0.0002934014024587038
  SB-202190,,EGFR,1.24,0.02,0.01000870322019147,5.8680280491740756e-05
  PONATINIB,,EGFR,1.16,0.02,0.009312445604873803,5.8680280491740756e-05
  CHEMBL1951415,,EGFR,1.09,0.08,0.008703220191470845,0.00023472112196696302
  CHEMBL29197,,EGFR,1.09,0.08,0.008703220191470845,0.00023472112196696302
  OSIMERTINIB MESYLATE,,EGFR,1.09,0.08,0.008703220191470845,0.00023472112196696302
  TRASTUZUMAB,,EGFR,1.09,0.03,0.008703220191470845,8.802042073761112e-05
  TUCATINIB,,EGFR,1.09,0.08,0.008703220191470845,0.00023472112196696302
  FLUOROURACIL,,EGFR,1.08,0.01,0.008616187989556138,2.9340140245870378e-05
  BEVACIZUMAB,,EGFR,1.06,0.02,0.00844212358572672,5.8680280491740756e-05
  DASATINIB,,EGFR,0.98,0.01,0.007745865970409052,2.9340140245870378e-05
  CEP-11981,,EGFR,0.97,0.03,0.007658833768494343,8.802042073761112e-05
  FOSTAMATINIB,,EGFR,0.96,0.0,0.007571801566579635,0.0
  ROGARATINIB,,EGFR,0.87,0.06,0.006788511749347259,0.00017604084147522224
  GO-6976,,EGFR,0.81,0.01,0.006266318537859009,2.9340140245870378e-05
  ERDAFITINIB,,EGFR,0.67,0.05,0.005047867711053091,0.0001467007012293519
  CYC-116,,EGFR,0.67,0.0,0.005047867711053091,0.0
  BMS-754807,,EGFR,0.67,0.05,0.005047867711053091,0.0001467007012293519
  VATALANIB,,EGFR,0.67,0.02,0.005047867711053091,5.8680280491740756e-05
  ALCOHOL,,EGFR,0.66,0.0,0.004960835509138382,0.0
  ACALABRUTINIB,,EGFR,0.62,0.02,0.004612706701479548,5.8680280491740756e-05
  ALISERTIB,,EGFR,0.62,0.01,0.004612706701479548,2.9340140245870378e-05
  SUNITINIB,,EGFR,0.61,0.01,0.0045256744995648395,2.9340140245870378e-05
  PD-0166285,,EGFR,0.59,0.01,0.004351610095735423,2.9340140245870378e-05
  DORAMAPIMOD,,EGFR,0.59,0.01,0.004351610095735423,2.9340140245870378e-05
  GW843682X,,EGFR,0.56,0.01,0.004090513489991298,2.9340140245870378e-05
  STAUROSPORINE,,EGFR,0.56,0.01,0.004090513489991298,2.9340140245870378e-05
  TAK-715,,EGFR,0.54,0.01,0.00391644908616188,2.9340140245870378e-05
  R-406,,EGFR,0.54,0.0,0.00391644908616188,0.0
  GLESATINIB,,EGFR,0.54,0.04,0.00391644908616188,0.00011736056098348151
  RG-1530,,EGFR,0.51,0.0,0.0036553524804177552,0.0
  TAE-684,,EGFR,0.51,0.0,0.0036553524804177552,0.0
  MLN-8054,,EGFR,0.48,0.01,0.0033942558746736296,2.9340140245870378e-05
  CENISERTIB,,EGFR,0.45,0.0,0.003133159268929504,0.0
  NITROGLYCERIN,,EGFR,0.44,0.03,0.0030461270670147957,8.802042073761112e-05
  ORANTINIB,,EGFR,0.44,0.03,0.0030461270670147957,8.802042073761112e-05
  ILORASERTIB,,EGFR,0.37,0.0,0.002436901653611837,0.0
  DOVITINIB,,EGFR,0.34,0.0,0.0021758050478677114,0.0
  TOZASERTIB,,EGFR,0.31,0.0,0.0019147084421235858,0.0
  SOTRASTAURIN,,EGFR,0.31,0.01,0.0019147084421235858,2.9340140245870378e-05
  AZD-1152-HQPA,,EGFR,0.2,0.01,0.0009573542210617931,2.9340140245870378e-05
  FLOXACILLIN,,HLA-B,13.69,3.57,0.11836379460400348,0.010474430067775724
  DAPSONE,,HLA-B,5.23,1.36,0.04473455178416015,0.003990259073438371
  METHAZOLAMIDE,,HLA-B,5.23,1.36,0.04473455178416015,0.003990259073438371
  FOSPHENYTOIN,,HLA-B,4.36,2.27,0.03716275021758051,0.0066602118358125755
  TRICHLOROETHYLENE,,HLA-B,4.36,2.27,0.03716275021758051,0.0066602118358125755
  BCG VACCINE,,HLA-B,2.9,0.38,0.024456048738033073,0.0011149253293430744
  CLINDAMYCIN,,HLA-B,2.9,1.51,0.024456048738033073,0.004430361177126427
  CLAVULANIC ACID,,HLA-B,2.49,0.65,0.02088772845953003,0.0019071091159815745
  RIBAVIRIN,,HLA-B,2.38,0.21,0.019930374238468235,0.0006161429451632779
  ABACAVIR,,HLA-B,2.38,0.62,0.019930374238468235,0.0018190886952439633
  METHIMAZOLE,,HLA-B,2.18,0.38,0.01818973020017407,0.0011149253293430744
  CARBIMAZOLE,,HLA-B,2.18,1.14,0.01818973020017407,0.0033447759880292226
  PAZOPANIB,,HLA-B,1.74,0.15,0.014360313315926894,0.00044010210368805564
  CLOZAPINE,,HLA-B,1.52,0.11,0.012445604873803308,0.00032274154270457413
  SULFASALAZINE,,HLA-B,1.5,0.16,0.01227154046997389,0.00046944224393392605
  ACETAZOLAMIDE,,HLA-B,1.34,0.35,0.010879025239338556,0.0010269049086054631
  CARBAMAZEPINE,,HLA-B,1.09,0.14,0.008703220191470845,0.0004107619634421853
  AMOXICILLIN,,HLA-B,1.02,0.27,0.008093994778067886,0.0007921837866385002
  THALIDOMIDE,,HLA-B,0.97,0.13,0.007658833768494343,0.0003814218231963149
  LAMIVUDINE,,HLA-B,0.84,0.09,0.006527415143603134,0.0002640612622128334
  TICLOPIDINE,,HLA-B,0.67,0.35,0.005047867711053091,0.0010269049086054631
  OXCARBAZEPINE,,HLA-B,0.65,0.11,0.004873803307223674,0.00032274154270457413
  STAVUDINE,,HLA-B,0.62,0.16,0.004612706701479548,0.00046944224393392605
  PHENYTOIN,,HLA-B,0.41,0.05,0.00278503046127067,0.0001467007012293519
  MINOCYCLINE,,HLA-B,0.26,0.13,0.0014795474325500436,0.0003814218231963149
  AURYXIA,,TFRC,17.42,56.81,0.15082680591818975,0.16668133673678961
  FERROUS SULFATE,,TFRC,2.9,9.47,0.024456048738033073,0.027785112812839248
  FERROUS FUMARATE,,TFRC,1.34,2.18,0.010879025239338556,0.006396150573599743
  FERROUS GLYCINE SULFATE,,TFRC,1.34,2.18,0.010879025239338556,0.006396150573599743
  GABACULINE,,OAT,21.78,71.01,0.18877284595300264,0.20834433588592555
  CANALINE,,OAT,17.42,56.81,0.15082680591818975,0.16668133673678961
  ORNITHINE,,OAT,3.17,5.16,0.026805918189730202,0.015139512366869114
  PYRIDOXAL PHOSPHATE,,OAT,1.17,0.55,0.00939947780678851,0.0016137077135228708
  COPPER,,KRT1,3.75,0.39,0.03185378590078329,0.0011442654695889448
  METHYLDOPA,,KRT1,2.04,0.36,0.016971279373368148,0.0010562450488513335
  COMBRETASTATIN A4,,TUBB4A,19.36,1.05,0.16771105308964318,0.0030807147258163897
  NOCODAZOLE,,TUBB4A,11.5,0.57,0.09930374238468234,0.0016723879940146113
  PACLITAXEL,,TUBB4A,10.45,0.28,0.09016536118363795,0.0008215239268843706
  PATUPILONE,,TUBB4A,9.5,0.65,0.08189730200174065,0.0019071091159815745
  PODOFILOX,,TUBB4A,9.09,0.41,0.0783289817232376,0.0012029457500806855
  EPOTHILONE D,,TUBB4A,8.71,0.59,0.07502175805047868,0.0017310682745063522
  COLCHICINE,,TUBB4A,7.82,0.39,0.06727589208006964,0.0011442654695889448
  ARTENIMOL,,TUBB4A,7.53,0.06,0.06475195822454309,0.00017604084147522224
  CHEMBL1935538,,TUBB4A,5.64,0.28,0.04830287206266319,0.0008215239268843706
  CHEMBL1795737,,TUBB4A,5.44,0.3,0.046562228024369025,0.0008802042073761113
  CHEMBL453818,,TUBB4A,5.44,0.3,0.046562228024369025,0.0008802042073761113
  CYCLOSTREPTIN,,TUBB4A,5.44,0.3,0.046562228024369025,0.0008802042073761113
  ZAMPANOLIDE,,TUBB4A,5.44,0.3,0.046562228024369025,0.0008802042073761113
  MAYTANSINE,,TUBB4A,5.44,0.3,0.046562228024369025,0.0008802042073761113
  MAYTANSINOL,,TUBB4A,5.44,0.3,0.046562228024369025,0.0008802042073761113
  CHEMBL2036119,,TUBB4A,5.44,0.3,0.046562228024369025,0.0008802042073761113
  CHEMBL2036124,,TUBB4A,5.44,0.3,0.046562228024369025,0.0008802042073761113
  ABT-751,,TUBB4A,4.84,0.26,0.04134029590948651,0.0007628436463926298
  VINCRISTINE,,TUBB4A,4.81,0.16,0.04107919930374238,0.00046944224393392605
  VINORELBINE,,TUBB4A,4.02,0.18,0.03420365535248042,0.0005281225244256667
  VINBLASTINE,,TUBB4A,3.73,0.2,0.031679721496953875,0.0005868028049174076
  LARGAZOLE,,TUBB4A,3.6,0.16,0.030548302872062668,0.00046944224393392605
  VORINOSTAT,,TUBB4A,2.97,0.1,0.025065274151436036,0.0002934014024587038
