Drug_name,GENE,Query Score,Interaction Score,Normalized_query_score,Normalized_interaction_score
GRACILIN A,EGFR,8.71,0.63,0.075021758,0.001848429
EPITINIB,EGFR,8.71,0.63,0.075021758,0.001848429
CHEMBL1078000,EGFR,8.71,0.63,0.075021758,0.001848429
CHEMBL3397300,EGFR,7.26,0.26,0.062402089,0.000762844
MP-412,EGFR,7.26,0.52,0.062402089,0.001525687
TAK-285,EGFR,6.53,0.47,0.056048738,0.001378987
JNJ-61186372,EGFR,6.53,0.47,0.056048738,0.001378987
CUDC-101,EGFR,6.53,0.16,0.056048738,0.000469442
LIFIRAFENIB,EGFR,6.53,0.16,0.056048738,0.000469442
NAQUOTINIB,EGFR,6.53,0.47,0.056048738,0.001378987
NIVOLUMAB,EGFR,6.1,0.15,0.052306353,0.000440102
ATEZOLIZUMAB,EGFR,6.03,0.14,0.051697128,0.000410762
DURVALUMAB,EGFR,5.81,0.21,0.049782419,0.000616143
CARBOPLATIN,EGFR,5.46,0.04,0.046736292,0.000117361
TRAMETINIB,EGFR,5.44,0.04,0.046562228,0.000117361
GEDATOLISIB,EGFR,5.41,0.04,0.046301131,0.000117361
CRIZOTINIB,EGFR,5.23,0.09,0.044734552,0.000264061
SELUMETINIB,EGFR,5.23,0.05,0.044734552,0.000146701
CANERTINIB,EGFR,4.98,0.36,0.042558747,0.001056245
GANETESPIB,EGFR,4.84,0.07,0.041340296,0.000205381
CAPMATINIB,EGFR,4.36,0.16,0.03716275,0.000469442
AZD-4769,EGFR,4.36,0.31,0.03716275,0.000909544
POZIOTINIB,EGFR,4.36,0.31,0.03716275,0.000909544
MAB-425,EGFR,4.36,0.31,0.03716275,0.000909544
RG-7160,EGFR,4.36,0.31,0.03716275,0.000909544
FUTUXIMAB,EGFR,4.36,0.31,0.03716275,0.000909544
MAVELERTINIB,EGFR,4.36,0.31,0.03716275,0.000909544
PYROTINIB,EGFR,4.36,0.31,0.03716275,0.000909544
BMS-690514,EGFR,4.36,0.31,0.03716275,0.000909544
ALLITINIB,EGFR,4.36,0.31,0.03716275,0.000909544
DULIGOTUZUMAB,EGFR,4.36,0.31,0.03716275,0.000909544
SAVOLITINIB,EGFR,4.36,0.31,0.03716275,0.000909544
CHEMBL2347958,EGFR,4.36,0.31,0.03716275,0.000909544
TARLOXOTINIB,EGFR,4.36,0.31,0.03716275,0.000909544
THELIATINIB,EGFR,4.36,0.31,0.03716275,0.000909544
NAZARTINIB,EGFR,4.36,0.31,0.03716275,0.000909544
SIMOTINIB,EGFR,4.36,0.31,0.03716275,0.000909544
CETUXIMAB SAROTALOCAN,EGFR,4.36,0.31,0.03716275,0.000909544
TEGAFUR,EGFR,4.36,0.16,0.03716275,0.000469442
ALFLUTINIB,EGFR,4.36,0.31,0.03716275,0.000909544
ERLOTINIB HYDROCHLORIDE,EGFR,4.36,0.31,0.03716275,0.000909544
AVELUMAB,EGFR,4.36,0.31,0.03716275,0.000909544
SORAFENIB,EGFR,4.3,0.03,0.036640557,8.80E-05
PIMASERTIB,EGFR,3.87,0.07,0.032898172,0.000205381
ENCORAFENIB,EGFR,3.87,0.07,0.032898172,0.000205381
TESEVATINIB,EGFR,3.81,0.27,0.032375979,0.000792184
PEMETREXED,EGFR,3.73,0.07,0.031679721,0.000205381
SIROLIMUS,EGFR,3.67,0.04,0.031157528,0.000117361
CISPLATIN,EGFR,3.53,0.01,0.029939077,2.93E-05
PHA-665752,EGFR,3.48,0.25,0.029503916,0.000733504
BRIGATINIB,EGFR,3.48,0.25,0.029503916,0.000733504
GELDANAMYCIN,EGFR,3.48,0.04,0.029503916,0.000117361
PACRITINIB,EGFR,3.48,0.13,0.029503916,0.000381422
IRINOTECAN,EGFR,3.45,0.02,0.02924282,5.87E-05
FALNIDAMOL,EGFR,3.27,0.24,0.02767624,0.000704163
AEE-788,EGFR,3.11,0.22,0.026283725,0.000645483
DECITABINE,EGFR,2.9,0.05,0.024456049,0.000146701
CHEMBL1765740,EGFR,2.9,0.1,0.024456049,0.000293401
GOLVATINIB,EGFR,2.9,0.21,0.024456049,0.000616143
PLUMBAGIN,EGFR,2.9,0.04,0.024456049,0.000117361
DACTOLISIB,EGFR,2.9,0.02,0.024456049,5.87E-05
BUPARLISIB,EGFR,2.9,0.03,0.024456049,8.80E-05
CHEMBL219557,EGFR,2.9,0.1,0.024456049,0.000293401
CHEMBL1358137,EGFR,2.9,0.21,0.024456049,0.000616143
TYRPHOSTIN AG-1478,EGFR,2.9,0.1,0.024456049,0.000293401
IBRUTINIB,EGFR,2.84,0.04,0.023933856,0.000117361
REGORAFENIB,EGFR,2.8,0.03,0.023585727,8.80E-05
ALVOCIDIB,EGFR,2.77,0.03,0.02332463,8.80E-05
DABRAFENIB,EGFR,2.65,0.03,0.022280244,8.80E-05
TEMOZOLOMIDE,EGFR,2.61,0.05,0.021932115,0.000146701
PF-00477736,EGFR,2.49,0.09,0.020887728,0.000264061
PUQUITINIB,EGFR,2.38,0.03,0.019930374,8.80E-05
TALAZOPARIB,EGFR,2.38,0.06,0.019930374,0.000176041
IMATINIB,EGFR,2.31,0.02,0.019321149,5.87E-05
LY-3164530,EGFR,2.18,0.16,0.01818973,0.000469442
LAPATINIB DITOSYLATE,EGFR,2.18,0.16,0.01818973,0.000469442
LINSITINIB,EGFR,2.18,0.08,0.01818973,0.000234721
CEP-32496,EGFR,2.18,0.08,0.01818973,0.000234721
ALOE-EMODIN,EGFR,2.18,0.16,0.01818973,0.000469442
MDX-447,EGFR,2.18,0.16,0.01818973,0.000469442
METHYLCURCUMIN,EGFR,2.18,0.16,0.01818973,0.000469442
GEMCITABINE,EGFR,2.07,0.01,0.017232376,2.93E-05
VEMURAFENIB,EGFR,2.03,0.02,0.016884247,5.87E-05
SARACATINIB,EGFR,2.01,0.05,0.016710183,0.000146701
CURCUMIN,EGFR,2,0.01,0.016623151,2.93E-05
JNJ-26483327,EGFR,1.94,0.07,0.016100957,0.000205381
AMLEXANOX,EGFR,1.94,0.03,0.016100957,8.80E-05
EVEROLIMUS,EGFR,1.91,0.02,0.015839861,5.87E-05
DOCETAXEL,EGFR,1.75,0.01,0.014447346,2.93E-05
DIMETHYLCURCUMIN,EGFR,1.74,0.13,0.014360313,0.000381422
YUANHUADINE,EGFR,1.74,0.13,0.014360313,0.000381422
SONIDEGIB,EGFR,1.74,0.13,0.014360313,0.000381422
TEMSIROLIMUS,EGFR,1.74,0.04,0.014360313,0.000117361
ZANUBRUTINIB,EGFR,1.74,0.06,0.014360313,0.000176041
ETOPOSIDE,EGFR,1.68,0.01,0.01383812,2.93E-05
CABOZANTINIB,EGFR,1.63,0.06,0.013402959,0.000176041
RIBAVIRIN,EGFR,1.58,0.02,0.012967798,5.87E-05
LEUCOVORIN,EGFR,1.56,0.02,0.012793734,5.87E-05
MK-2206,EGFR,1.54,0.04,0.012619669,0.000117361
BOSUTINIB,EGFR,1.52,0.03,0.012445605,8.80E-05
RAMUCIRUMAB,EGFR,1.45,0.1,0.011836379,0.000293401
ABIVERTINIB,EGFR,1.45,0.1,0.011836379,0.000293401
CANERTINIB DIHYDROCHLORIDE,EGFR,1.45,0.1,0.011836379,0.000293401
LIDOCAINE,EGFR,1.45,0.05,0.011836379,0.000146701
AFATINIB DIMALEATE,EGFR,1.45,0.1,0.011836379,0.000293401
SB-202190,EGFR,1.24,0.02,0.010008703,5.87E-05
PONATINIB,EGFR,1.16,0.02,0.009312446,5.87E-05
CHEMBL1951415,EGFR,1.09,0.08,0.00870322,0.000234721
CHEMBL29197,EGFR,1.09,0.08,0.00870322,0.000234721
OSIMERTINIB MESYLATE,EGFR,1.09,0.08,0.00870322,0.000234721
TRASTUZUMAB,EGFR,1.09,0.03,0.00870322,8.80E-05
TUCATINIB,EGFR,1.09,0.08,0.00870322,0.000234721
FLUOROURACIL,EGFR,1.08,0.01,0.008616188,2.93E-05
BEVACIZUMAB,EGFR,1.06,0.02,0.008442124,5.87E-05
DASATINIB,EGFR,0.98,0.01,0.007745866,2.93E-05
CEP-11981,EGFR,0.97,0.03,0.007658834,8.80E-05
FOSTAMATINIB,EGFR,0.96,0,0.007571802,0
ROGARATINIB,EGFR,0.87,0.06,0.006788512,0.000176041
GO-6976,EGFR,0.81,0.01,0.006266319,2.93E-05
ERDAFITINIB,EGFR,0.67,0.05,0.005047868,0.000146701
CYC-116,EGFR,0.67,0,0.005047868,0
BMS-754807,EGFR,0.67,0.05,0.005047868,0.000146701
VATALANIB,EGFR,0.67,0.02,0.005047868,5.87E-05
ALCOHOL,EGFR,0.66,0,0.004960836,0
ACALABRUTINIB,EGFR,0.62,0.02,0.004612707,5.87E-05
ALISERTIB,EGFR,0.62,0.01,0.004612707,2.93E-05
SUNITINIB,EGFR,0.61,0.01,0.004525674,2.93E-05
PD-0166285,EGFR,0.59,0.01,0.00435161,2.93E-05
DORAMAPIMOD,EGFR,0.59,0.01,0.00435161,2.93E-05
GW843682X,EGFR,0.56,0.01,0.004090513,2.93E-05
STAUROSPORINE,EGFR,0.56,0.01,0.004090513,2.93E-05
TAK-715,EGFR,0.54,0.01,0.003916449,2.93E-05
R-406,EGFR,0.54,0,0.003916449,0
GLESATINIB,EGFR,0.54,0.04,0.003916449,0.000117361
RG-1530,EGFR,0.51,0,0.003655352,0
TAE-684,EGFR,0.51,0,0.003655352,0
MLN-8054,EGFR,0.48,0.01,0.003394256,2.93E-05
CENISERTIB,EGFR,0.45,0,0.003133159,0
NITROGLYCERIN,EGFR,0.44,0.03,0.003046127,8.80E-05
ORANTINIB,EGFR,0.44,0.03,0.003046127,8.80E-05
ILORASERTIB,EGFR,0.37,0,0.002436902,0
DOVITINIB,EGFR,0.34,0,0.002175805,0
TOZASERTIB,EGFR,0.31,0,0.001914708,0
SOTRASTAURIN,EGFR,0.31,0.01,0.001914708,2.93E-05
AZD-1152-HQPA,EGFR,0.2,0.01,0.000957354,2.93E-05
FLOXACILLIN,HLA-B,13.69,3.57,0.118363795,0.01047443
DAPSONE,HLA-B,5.23,1.36,0.044734552,0.003990259
METHAZOLAMIDE,HLA-B,5.23,1.36,0.044734552,0.003990259
FOSPHENYTOIN,HLA-B,4.36,2.27,0.03716275,0.006660212
TRICHLOROETHYLENE,HLA-B,4.36,2.27,0.03716275,0.006660212
BCG VACCINE,HLA-B,2.9,0.38,0.024456049,0.001114925
CLINDAMYCIN,HLA-B,2.9,1.51,0.024456049,0.004430361
CLAVULANIC ACID,HLA-B,2.49,0.65,0.020887728,0.001907109
RIBAVIRIN,HLA-B,2.38,0.21,0.019930374,0.000616143
ABACAVIR,HLA-B,2.38,0.62,0.019930374,0.001819089
METHIMAZOLE,HLA-B,2.18,0.38,0.01818973,0.001114925
CARBIMAZOLE,HLA-B,2.18,1.14,0.01818973,0.003344776
PAZOPANIB,HLA-B,1.74,0.15,0.014360313,0.000440102
CLOZAPINE,HLA-B,1.52,0.11,0.012445605,0.000322742
SULFASALAZINE,HLA-B,1.5,0.16,0.01227154,0.000469442
ACETAZOLAMIDE,HLA-B,1.34,0.35,0.010879025,0.001026905
CARBAMAZEPINE,HLA-B,1.09,0.14,0.00870322,0.000410762
AMOXICILLIN,HLA-B,1.02,0.27,0.008093995,0.000792184
THALIDOMIDE,HLA-B,0.97,0.13,0.007658834,0.000381422
LAMIVUDINE,HLA-B,0.84,0.09,0.006527415,0.000264061
TICLOPIDINE,HLA-B,0.67,0.35,0.005047868,0.001026905
OXCARBAZEPINE,HLA-B,0.65,0.11,0.004873803,0.000322742
STAVUDINE,HLA-B,0.62,0.16,0.004612707,0.000469442
PHENYTOIN,HLA-B,0.41,0.05,0.00278503,0.000146701
MINOCYCLINE,HLA-B,0.26,0.13,0.001479547,0.000381422
AURYXIA,TFRC,17.42,56.81,0.150826806,0.166681337
FERROUS SULFATE,TFRC,2.9,9.47,0.024456049,0.027785113
FERROUS FUMARATE,TFRC,1.34,2.18,0.010879025,0.006396151
FERROUS GLYCINE SULFATE,TFRC,1.34,2.18,0.010879025,0.006396151
GABACULINE,OAT,21.78,71.01,0.188772846,0.208344336
CANALINE,OAT,17.42,56.81,0.150826806,0.166681337
ORNITHINE,OAT,3.17,5.16,0.026805918,0.015139512
PYRIDOXAL PHOSPHATE,OAT,1.17,0.55,0.009399478,0.001613708
COPPER,KRT1,3.75,0.39,0.031853786,0.001144265
METHYLDOPA,KRT1,2.04,0.36,0.016971279,0.001056245
COMBRETASTATIN A4,TUBB4A,19.36,1.05,0.167711053,0.003080715
NOCODAZOLE,TUBB4A,11.5,0.57,0.099303742,0.001672388
PACLITAXEL,TUBB4A,10.45,0.28,0.090165361,0.000821524
PATUPILONE,TUBB4A,9.5,0.65,0.081897302,0.001907109
PODOFILOX,TUBB4A,9.09,0.41,0.078328982,0.001202946
EPOTHILONE D,TUBB4A,8.71,0.59,0.075021758,0.001731068
COLCHICINE,TUBB4A,7.82,0.39,0.067275892,0.001144265
ARTENIMOL,TUBB4A,7.53,0.06,0.064751958,0.000176041
CHEMBL1935538,TUBB4A,5.64,0.28,0.048302872,0.000821524
CHEMBL1795737,TUBB4A,5.44,0.3,0.046562228,0.000880204
CHEMBL453818,TUBB4A,5.44,0.3,0.046562228,0.000880204
CYCLOSTREPTIN,TUBB4A,5.44,0.3,0.046562228,0.000880204
ZAMPANOLIDE,TUBB4A,5.44,0.3,0.046562228,0.000880204
MAYTANSINE,TUBB4A,5.44,0.3,0.046562228,0.000880204
MAYTANSINOL,TUBB4A,5.44,0.3,0.046562228,0.000880204
CHEMBL2036119,TUBB4A,5.44,0.3,0.046562228,0.000880204
CHEMBL2036124,TUBB4A,5.44,0.3,0.046562228,0.000880204
ABT-751,TUBB4A,4.84,0.26,0.041340296,0.000762844
VINCRISTINE,TUBB4A,4.81,0.16,0.041079199,0.000469442
VINORELBINE,TUBB4A,4.02,0.18,0.034203655,0.000528123
VINBLASTINE,TUBB4A,3.73,0.2,0.031679721,0.000586803
LARGAZOLE,TUBB4A,3.6,0.16,0.030548303,0.000469442
VORINOSTAT,TUBB4A,2.97,0.1,0.025065274,0.000293401
CURCUMIN,TUBB4A,2,0.06,0.016623151,0.000176041
APR-246,TP53,30.49,1.04,0.264577894,0.003051375
SAR-405838,TP53,21.78,0.74,0.188772846,0.00217117
NUTLIN-3,TP53,19.6,0.67,0.169799826,0.001965789
CISPLATIN,TP53,16.77,0.02,0.145169713,5.87E-05
DOXORUBICIN,TP53,12.84,0.02,0.110966057,5.87E-05
ADAVOSERTIB,TP53,10.81,0.06,0.09329852,0.000176041
YONDELIS,TP53,8.71,0.3,0.075021758,0.000880204
PRODIGIOSIN,TP53,8.71,0.15,0.075021758,0.000440102
CERALASERTIB,TP53,8.71,0.15,0.075021758,0.000440102
4-ISOTHIOUREIDOBUTYRONITRILE,TP53,8.71,0.3,0.075021758,0.000880204
CHEMBL1241268,TP53,8.71,0.3,0.075021758,0.000880204
ATRACTYLENOLIDE I,TP53,8.71,0.3,0.075021758,0.000880204
CAMPTOSAR,TP53,8.71,0.3,0.075021758,0.000880204
CHEMBL1801219,TP53,8.71,0.3,0.075021758,0.000880204
AVASTIN,TP53,8.71,0.3,0.075021758,0.000880204
PHA-680632,TP53,8.71,0.3,0.075021758,0.000880204
CHEMBL1235116,TP53,8.71,0.3,0.075021758,0.000880204
TRIETHYL PHOSPHATE,TP53,8.71,0.3,0.075021758,0.000880204
ALVESPIMYCIN,TP53,6.53,0.07,0.056048738,0.000205381
RO-5045337,TP53,6.53,0.22,0.056048738,0.000645483
VORINOSTAT,TP53,5.93,0.01,0.050826806,2.93E-05
TIRAPAZAMINE,TP53,5.81,0.1,0.049782419,0.000293401
LY-3009120,TP53,5.81,0.05,0.049782419,0.000146701
LB-100,TP53,5.81,0.1,0.049782419,0.000293401
PUROMYCIN,TP53,5.66,0.01,0.048476936,2.93E-05
PHENETHYLISOTHIOCYANATE,TP53,5.26,0.01,0.044995648,2.93E-05
AZD-6482,TP53,5.08,0.02,0.043429069,5.87E-05
GANETESPIB,TP53,4.84,0.03,0.041340296,8.80E-05
GEMCITABINE,TP53,4.83,0.01,0.041253264,2.93E-05
CHEMBL602922,TP53,4.36,0.15,0.03716275,0.000440102
CHEMBL1702181,TP53,4.36,0.15,0.03716275,0.000440102
PACLITAXEL,TP53,4.36,0.01,0.03716275,2.93E-05
CAPMATINIB,TP53,4.36,0.07,0.03716275,0.000205381
CGM-097,TP53,4.36,0.07,0.03716275,0.000205381
DOXIL,TP53,4.36,0.07,0.03716275,0.000205381
SELUMETINIB,TP53,4.36,0.02,0.03716275,5.87E-05
CHEMBL407501,TP53,4.36,0.15,0.03716275,0.000440102
TRIFLURIDINE,TP53,4.36,0.07,0.03716275,0.000205381
CHEMBL545900,TP53,4.36,0.15,0.03716275,0.000440102
TEPRASIRAN,TP53,4.36,0.15,0.03716275,0.000440102
DS-7423,TP53,4.36,0.02,0.03716275,5.87E-05
ACEQUINOCYL,TP53,4.36,0.15,0.03716275,0.000440102
SELICICLIB,TP53,4.36,0.05,0.03716275,0.000146701
SERDEMETAN,TP53,4.36,0.15,0.03716275,0.000440102
N6-BENZYLADENOSINE,TP53,4.36,0.15,0.03716275,0.000440102
RG-7602,TP53,4.36,0.15,0.03716275,0.000440102
ALT-801,TP53,4.36,0.15,0.03716275,0.000440102
CHEMBL411085,TP53,4.36,0.05,0.03716275,0.000146701
BENOMYL,TP53,4.36,0.15,0.03716275,0.000440102
DEMCIZUMAB,TP53,4.36,0.07,0.03716275,0.000205381
CHEMBL259422,TP53,4.36,0.15,0.03716275,0.000440102
(R)-INDOPROFEN,TP53,4.36,0.15,0.03716275,0.000440102
CHEMBL600347,TP53,4.36,0.15,0.03716275,0.000440102
LONTUCIREV (REPLICATING ADENOVIRUS),TP53,4.36,0.15,0.03716275,0.000440102
ETOPOSIDE,TP53,4.19,0.01,0.035683203,2.93E-05
BORTEZOMIB,TP53,4.07,0,0.034638816,0
GEDATOLISIB,TP53,4.06,0.02,0.034551784,5.87E-05
NAVITOCLAX,TP53,4.02,0.03,0.034203655,8.80E-05
PIMASERTIB,TP53,3.87,0.03,0.032898172,8.80E-05
CYCLOPHOSPHAMIDE,TP53,3.86,0.01,0.03281114,2.93E-05
ABT 737,TP53,3.73,0.04,0.031679721,0.000117361
EPIRUBICIN,TP53,3.48,0.02,0.029503916,5.87E-05
TEMOZOLOMIDE,TP53,3.48,0.03,0.029503916,8.80E-05
CRIZOTINIB,TP53,3.48,0.03,0.029503916,8.80E-05
CARBOPLATIN,TP53,3.47,0.01,0.029416884,2.93E-05
TANESPIMYCIN,TP53,3.35,0.02,0.028372498,5.87E-05
2-AMINOANTHRACENE,TP53,3.27,0.04,0.02767624,0.000117361
PEMBROLIZUMAB,TP53,3.17,0.01,0.026805918,2.93E-05
VEMURAFENIB,TP53,3.05,0.01,0.025761532,2.93E-05
IFOSFAMIDE,TP53,2.9,0.03,0.024456049,8.80E-05
ANTIMYCIN A,TP53,2.9,0.05,0.024456049,0.000146701
PATULIN,TP53,2.9,0.03,0.024456049,8.80E-05
SULCONAZOLE NITRATE,TP53,2.9,0.05,0.024456049,0.000146701
PF-04217903,TP53,2.9,0.1,0.024456049,0.000293401
ZINC CHLORIDE,TP53,2.83,0,0.023846823,0
ABEMACICLIB,TP53,2.8,0.03,0.023585727,8.80E-05
DABRAFENIB,TP53,2.65,0.01,0.022280244,2.93E-05
CHEMBL186526,TP53,2.61,0.03,0.021932115,8.80E-05
DUVELISIB,TP53,2.61,0.03,0.021932115,8.80E-05
CHEMBL429335,TP53,2.61,0.03,0.021932115,8.80E-05
PF-00477736,TP53,2.49,0.04,0.020887728,0.000117361
LORLATINIB,TP53,2.49,0.04,0.020887728,0.000117361
INOSITOL,TP53,2.49,0.02,0.020887728,5.87E-05
PD-0325901,TP53,2.38,0.03,0.019930374,8.80E-05
